"","Name","City","State","Zip","EIN","Source","Goals","Category of Work","Methods","Focus Areas","lat","long"
"1137","Lutheran Social Services of Southern California","Orange","CA","92868","952225798","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",33.7872568,-117.850308
"1138","MAAC","Chula Vista","CA","91911","111111111","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Urban/Rural Development",32.6400541,-117.084195
"1139","MAGGIES PLACE","Phoenix","AZ","85016","860972675","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Healthy Futures",33.4484367,-112.074141
"1140","MAHUBE-OTWA Community ACT PART","Detroit Lakes","MN","56501","416049474","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Environmental Stewardship; Healthy Futures",46.817181,-95.845325
"1141","MALDEN CHAMBER OF COMMERCE","Malden","MO","63863","430725614","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",36.5568929,-89.9660641
"1142","MARICOPA, COUNTY OF","Phoenix","AZ","85003","866000472","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity",33.4484367,-112.074141
"1143","MARQUETTE COUNTY","Marquette","MI","49855","386004869","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures; Veterans and Military Families",46.5434914,-87.396433
"1144","MARSHFIELD CLINIC","Marshfield","WI","54449","390452970","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",44.6688524,-90.1717987
"1145","MARTHA O'BRYAN CENTER","Nashville","TN","37206","620477728","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education",36.1622767,-86.7742984
"1146","MASSACHUSETTS SERVICE ALLIANCE, INC","Boston","MA","02114","043088234","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",42.3554334,-71.060511
"1147","MCCJ, Inc.","Miami","FL","33131","203534284","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures",25.7741728,-80.19362
"1148","MCLENNAN COUNTY JUNIOR COLLEGE DISTRICT","Waco","TX","76708","741541260","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Healthy Futures; Veterans and Military Families",31.5491899,-97.1474628
"1149","MENTAL HEALTH AMERICA OF SOUTH CENTRAL KANSAS, INC","Wichita","KS","67208","480990763","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures",37.6922361,-97.3375448
"1150","MENTAL HEALTH COLLECTIVE","Minneapolis","MN","55408","411946275","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",44.9772995,-93.2654692
"1151","MIAMI UNIVERSITY","Oxford","OH","45056","316402089","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",39.5103048,-84.7420519
"1152","MIAMI-DADE COUNTY","Miami","FL","33128","596000573","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Disaster Services; Education; Healthy Futures; Veterans and Military Families",25.7741728,-80.19362
"1153","MICHIGAN DEPARTMENT OF ENVIRONMENT, GREAT LAKES, AND ENERGY","Lansing","MI","48933","386000134","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",42.7337712,-84.5553805
"1154","MICHIGAN DEPARTMENT OF LABOR AND ECONOMIC OPPORTUNITY","Okemos","MI","48864","386000134","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",42.7221021,-84.4275259
"1155","MISSISSIPPI COMMISSION FOR VOLUNTEER SERVICE","Jackson","MS","39211","646000783","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",32.2998686,-90.1830408
"1156","MISSISSIPPI URBAN LEAGUE INC","Jackson","MS","39213","274272183","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",32.2998686,-90.1830408
"1157","MOAB FREE HEALTH CLINIC","Moab","UT","84532","262082745","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Disaster Services; Economic Opportunity; Education; Environmental Stewardship",38.5738096,-109.546214
"1158","MONROE COUNTY PENNSLYVANIA","Stroudsburg","PA","18360","246000734","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures; Veterans and Military Families",40.9864261,-75.1946649
"1159","MONTANA DEPARTMENT OF LABOR INDUSTRY","Helena","MT","59601","810302402","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",46.5927425,-112.036277
"1160","MUJERES DE ISLAS, INC","Culebra","PR","00775","660768054","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",18.3030519,-65.3000989
"1161","Mac, Incorporated","Salisbury","MD","21804","520992005","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",38.366027,-75.6009964
"1162","Macon County Commission","Tuskegee","AL","36083","636001615","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",32.4240535,-85.6908715
"1163","Macon-Bibb County Economic Opportunity Council, Inc.","Macon","GA","31201","580957208","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",32.8406946,-83.6324022
"1164","Madison County Office for the Aging, Inc.","Canastota","NY","13032","161434765","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Healthy Futures",43.079672,-75.751076
"1165","Maine State Library","Augusta","ME","04330","016000001","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education",44.3169922,-69.7734278
"1166","Maine Youth Alliance","Belfast","ME","04915","900857900","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",44.4261711,-69.0065596
"1167","Mandy's Special Farm","Albuquerque","NM","87105","850436516","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity",35.0841034,-106.650985
"1168","Mar-Lu-Ridge Camp and Retreat Center","Unusable Addr","MD","Unusable Addr","52-0807630","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Environment",NA,NA
"1169","Marion County Public Schools","Ocala","FL","34471","596000734","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",29.1871986,-82.1400923
"1170","Mariposa County","Mariposa","CA","95338","946000880","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Environment",37.4849377,-119.966284
"1171","Marnel C Moorman Family Life Center","Shelbyville","KY","40065","611393450","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",38.2120144,-85.2235666
"1172","Marquette University","Milwaukee","WI","53233","390806251","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",43.0386475,-87.9090751
"1173","Marshall County Of","Guntersville","AL","35976","631065036","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Education; Environmental Stewardship; Healthy Futures",34.3581474,-86.2947041
"1174","Martin Luther King Sr Community Resources Collaborative Inc.","Atlanta","GA","30312","464284316","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Healthy Futures",33.7489924,-84.3902644
"1175","Mashpee Wampanoag Tribe","Mashpee","MA","02649","142001428","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Disaster Services; Environmental Stewardship",41.6484421,-70.4811383
"1176","Mason County Interagency Council, Incorporated","Maysville","KY","41056","610850200","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures; Veterans and Military Families",38.6411854,-83.744365
"1177","Massachusetts Immigrant and Refugee Advocacy Coalition","Boston","MA","02114","223115048","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity",42.3554334,-71.060511
"1178","Match School Foundation, Inc., The","Boston","MA","02215","043476160","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",42.3554334,-71.060511
"1179","Meals on Wheels of RI, Inc.","Providence","RI","02908","050340723","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",41.8239891,-71.4128343
"1180","Mecosta County","Big Rapids","MI","49307","237437416","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Disaster Services; Education; Healthy Futures",43.698078,-85.483656
"1181","Medserve","Durham","NC","27705","475201961","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",35.996653,-78.9018053
"1182","Megiddo Dream Station","Graniteville","SC","29829","455592497","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Healthy Futures",33.5637483,-81.8078887
"1183","Memphis Teacher Residency, Inc","Memphis","TN","38104","264440905","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",35.1460249,-90.0517638
"1184","Mental Health America of Greenville County","Greenville","SC","29607","570955844","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",34.851354,-82.3984882
"1185","Mental Health Association of Columbia-Greene Counties, Inc","Hudson","NY","12534","146030796","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Education; Healthy Futures",42.2528649,-73.790959
"1186","Mentes Puertorriquenas En Accion Inc.","San Juan","PR","00917","660728293","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",18.465299,-66.116666
"1187","Mercy Corps","Portland","OR","97204","911148123","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",45.5202471,-122.674194
"1188","Mercy Health Cincinnati LLC","Cincinnati","OH","45237","311063783","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",39.1014537,-84.5124602
"1189","Mesa County RSVP, INC","Grand Junction","CO","81501","841516029","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Education; Healthy Futures",39.0672568,-108.56448
"1190","Methodist Childrens Home Society","Redford","MI","48240","381240951","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",42.3833698,-83.2965971
"1191","Metro Volunteers","Denver","CO","80207","840782124","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Environmental Stewardship; Healthy Futures",39.7392364,-104.984862
"1192","Metropolitan Family Service","Portland","OR","97214","930397825","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Education; Environmental Stewardship; Healthy Futures",45.5202471,-122.674194
"1193","Metropolitan Ministries, Inc.","Tampa","FL","33602","591477007","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures",27.9477595,-82.458444
"1194","Michiana Area Council of Governments","South Bend","IN","46601","351186167","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",41.6833813,-86.2500066
"1195","Michigan Coalition Against Homelessness","Lansing","MI","48906","382960348","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",42.7337712,-84.5553805
